ID,FH,CL,CH,CD,FLA,FLL,FLW,GL,GWE,GWI,PS,PE,PL,SN,ANL,AWL,AWC,SC,SE,BLSC
F001,69,46,40,0.37,48,14,0.9,8.69,0.52,2.56,0,0,13.7,23,0.25,6,1,1,1,0
F002,84,56,50,0.47,62,17.7,0.7,7.7,0.41,2.17,0,3,14.8,41,0.31,3.8,1,1,1,0
F003,86,52,40,0.5,33,21.3,0.8,8.85,0.6,2.44,0,0,15.2,30,0.28,2.8,1,1,1,0
F004,79,60,45,0.57,77,22,1,8.53,0.58,2.36,0,1.7,17.3,46,0.31,4.7,1,1,1,0
F005,78,61,50,0.5,58,20,0.8,8.84,0.61,2.26,25,3.5,18.2,38,0.3,5.3,1,1,1,0
F006,85,70,65,0.53,58,21.7,1.1,8.75,0.6,2.31,30,0.7,20.3,52,0.3,4.7,1,1,1,0
F007,87,69,50,0.57,50,23.3,1.3,8.77,0.52,2.35,33,2.3,21.7,38,0.31,4.8,1,1,1,0
F008,74,65,55,0.53,62,34,1,8.13,0.54,2.39,23,2,20.3,58,0.2,5.8,1,1,1,0
F009,79,76,40,0.53,60,22.7,1,8.78,0.59,2.37,23,1.2,22.7,40,0.3,5.3,1,1,1,0
F010,74,57,45,0.5,48,26.7,1.1,8.7,0.58,2.57,35,1.3,22.3,59,0.32,5.3,1,1,0,0
F011,75,61,55,0.5,65,25.2,0.9,8.67,0.57,2.41,30,1.3,20.7,60,0.3,4.3,1,1,1,0
F012,78,70,50,0.53,88,22,0.9,9.32,0.65,2.36,30,4.2,19,43,0.33,4.5,1,0,1,0
F013,74,79,35,0.53,55,23.7,0.9,9.07,0.6,2.58,0,2.8,20.7,37,0.33,4.2,1,1,1,1
F014,67,64,45,0.5,70,20.7,0.9,8.85,0.6,2.44,0,0,19.5,50,0.3,1.5,1,1,1,0
F015,75,94,30,0.53,77,21.3,0.8,8.43,0.58,2.41,27,3.7,19.2,36,0.28,3.8,1,0,1,1
F016,86,71,50,0.6,58,20.3,1,9.18,0.6,2.46,32,1.8,21.7,36,0.32,5.3,1,1,1,0
F017,85,61,40,0.43,70,22,0.8,9.65,0.66,2.35,0,0,19.3,27,0.25,2.3,1,0,1,0
F018,86,59,35,0.5,63,20.7,0.9,7.97,0.5,2.31,28,2.2,17.7,39,0.31,4.2,1,1,1,0
F019,82,60,60,0.47,60,18.3,0.8,9.09,0.54,2.45,23,1,18,39,0.3,2.3,1,1,1,0
F020,80,64,30,0.53,73,19,0.9,8.51,0.53,2.22,22,1.2,16.7,44,0.28,1.8,1,0,1,0
F021,79,84,40,0.73,58,26.3,1.1,9.33,0.6,2.51,23,0,25,59,0.27,3.5,1,0,0,1
F022,99,44,40,0.4,0,13.8,0.7,8.9,0.49,2.27,0,0,13.5,15,0.25,3,1,1,1,0
F023,77,60,50,0.57,55,23,1,9.14,0.66,2.54,32,2.3,21.8,66,0.32,5.7,1,1,0,1
F024,90,73,45,0.5,38,25.3,0.9,9.23,0.61,2.46,28,3.5,25.3,44,0.31,5.8,1,1,1,0
F025,77,50,40,0.3,62,19,0.9,9.38,0.62,2.36,0,0,15.8,33,0.25,2.2,1,0,1,0
F026,74,66,40,0.5,67,22,1,8.53,0.62,2.49,32,0.7,21,39,0.3,5.7,1,1,1,0
F027,72,60,70,0.4,60,19.5,0.9,8.48,0.56,2.36,33,4.7,19.8,38,0.3,3.7,1,1,1,0
F028,97,59,60,0.53,47,25.3,1,8.09,0.51,2.58,28,0,19.3,43,0.27,5.3,1,1,0,0
F029,76,69,55,0.53,67,27.3,1.1,8.92,0.62,2.47,32,5.5,23.7,61,0.3,4.2,1,1,1,0
F030,70,60,40,0.43,77,22.5,0.8,9.24,0.65,2.38,22,4.5,17,28,0.25,4,1,1,1,0
F031,81,66,50,0.6,78,23.3,1,8.33,0.63,2.85,7,0,21.3,50,0.24,4.3,1,1,1,1
F032,82,69,55,0.5,48,24.3,0.9,8.77,0.55,2.28,27,4.2,19.7,46,0.3,2.7,1,1,1,0
F033,69,67,50,0.47,65,21.3,1,9.13,0.58,2.58,0,3.8,19,33,0.32,5.5,1,1,1,0
F034,70,68,50,0.37,60,19.8,0.9,9.32,0.6,2.59,27,4.3,18.7,41,0.28,3.7,1,1,1,0
F035,88,65,45,0.5,37,28.2,1.1,9.67,0.71,2.78,28,1.3,24,52,0.3,7.2,1,1,1,1
F036,77,64,45,0.53,65,23.3,1.1,9.6,0.7,2.59,18,0.7,20.3,33,0.34,5.5,1,1,1,0
F037,69,65,55,0.43,75,21.2,0.9,9.1,0.62,2.5,0,2,19,35,0.3,3.2,1,1,1,1
F038,81,64,55,0.43,55,21,1,9.49,0.62,2.62,32,2.5,20.7,39,0.33,4.5,1,1,1,0
F039,69,57,45,0.47,57,20,0.9,8.81,0.56,2.55,0,1.5,20.3,47,0.3,4.7,1,1,1,1
F040,86,55,40,0.5,40,16.5,1.1,8.77,0.61,2.45,0,3,16.3,33,0.31,4,1,1,1,0
F041,77,61,45,0.33,90,18,0.7,8.51,0.57,2.4,15,5.7,20.3,32,0.33,3.8,1,1,1,0
F042,77,59,40,0.57,55,21.3,0.9,8.96,0.58,2.44,0,1.3,20,38,0.27,4.7,1,1,1,0
F043,86,68,50,0.5,55,21.7,0.9,9.3,0.55,2.28,0,1,21.8,56,0.28,2,1,1,1,1
F044,77,67,60,0.47,72,26.2,1.2,8.55,0.49,2.35,27,3.8,20.3,62,0.32,3.7,1,1,1,0
F045,73,66,35,0.53,57,24,0.9,8.95,0.63,2.35,20,4.7,19.2,47,0.3,5.5,1,1,1,0
F046,78,68,60,0.53,60,21,0.8,7.96,0.51,2.39,0,0.5,18,46,0.3,4,1,1,1,0
F047,69,57,30,0.4,62,17.7,0.9,9.52,0.67,2.29,0,3,16.7,24,0.31,4.7,1,1,1,0
F048,75,66,40,0.47,53,19.8,0.8,8.85,0.6,2.44,0,1,18.7,32,0.24,3.2,1,1,0,1
F049,84,65,45,0.63,47,19.3,1,9.27,0.61,2.45,25,4.7,18.8,42,0.3,3.5,1,1,1,0
F050,67,64,45,0.5,57,22,0.9,9.1,0.63,2.6,30,1.8,17.5,47,0.25,2.7,1,1,1,0
F051,73,73,55,0.53,67,30.7,1,9.33,0.64,2.55,32,1,25.3,61,0.31,5.7,1,1,1,0
F052,88,67,55,0.5,65,18.3,0.9,8.96,0.55,2.46,32,2.3,17,31,0.31,4.2,1,1,1,0
F053,76,79,50,0.53,53,21,0.8,8.56,0.57,2.4,17,4.5,19.2,38,0.31,3.7,1,0,1,0
F054,69,54,40,0.43,60,20,0.7,8.92,0.55,2.17,0,0,16,25,0.3,3.8,1,1,1,0
F055,70,65,30,0.4,55,23.3,0.9,8.77,0.6,2.39,0,4,20.3,32,0.25,5,1,1,1,0
F056,69,77,45,0.5,65,24.5,0.8,9.37,0.7,2.64,25,0,20,36,0.31,3.7,1,1,0,1
F057,68,73,50,0.5,53,18.3,0.8,9.6,0.67,2.6,0,2.3,19.3,37,0.3,6,1,1,1,0
F058,75,63,45,0.47,73,25.8,1,9.39,0.56,2.35,0,2.5,19.2,46,0.3,4.5,1,1,1,1
F059,68,61,40,0.37,63,18.7,0.9,9.5,0.6,2.26,0,3.2,16,36,0.25,1.8,1,1,1,0
F060,85,70,50,0.67,63,23.7,0.9,9.47,0.58,2.35,30,2.7,23.7,49,0.3,3.7,1,1,1,1
F061,83,77,70,0.6,70,34.2,1.1,8.49,0.59,2.45,33,5.8,23.7,60,0.27,4,1,1,1,1
F062,71,61,45,0.4,88,23,1,8.77,0.62,2.75,0,1.5,21.3,41,0.31,4.8,1,1,1,0
F063,86,67,45,0.57,50,17.5,0.8,9.01,0.62,2.47,0,4,17,35,0.3,2.3,1,0,1,1
F064,69,67,50,0.47,63,22.7,1,8.71,0.59,2.56,35,1.5,21,41,0.3,3.5,1,0,1,0
F065,75,60,50,0.6,60,23.7,1,8.14,0.6,2.32,0,1,18.7,33,0.3,4.3,1,1,1,1
F066,68,63,50,0.53,72,22.8,0.9,8.85,0.65,2.42,0,0,18,49,0.2,1.8,1,0,1,1
F067,69,54,45,0.53,50,24,0.9,7.72,0.46,2.68,0,3,15.8,32,0.3,2.7,1,1,1,0
F068,67,64,50,0.5,38,20,0.7,8.86,0.57,2.35,40,1.8,17.3,39,0.28,2.5,1,1,1,0
F069,78,87,50,0.57,48,23.2,1,8.56,0.64,2.64,28,5.7,25.2,62,0.31,4.3,1,1,1,1
F070,77,63,50,0.47,53,17.3,0.7,8.64,0.56,2.23,0,0,17,31,0.3,5.2,1,1,1,1
F071,69,65,40,0.53,67,25.2,1,8.79,0.54,2.46,0,0,20.3,45,0.28,4.7,1,1,1,0
F072,73,65,50,0.57,40,18.3,0.8,8.54,0.52,2.35,0,1.5,18.8,36,0.3,4.5,1,1,1,0
F073,68,65,60,0.43,47,24.8,0.9,8.72,0.63,2.5,0,0,21.5,46,0.24,4.7,1,1,1,0
F074,84,62,50,0.5,67,23.7,0.8,8.7,0.59,2.26,0,1.5,17.7,35,0.28,4,1,1,1,0
F075,79,66,60,0.5,62,19.5,1,8.43,0.55,2.49,27,0,19.3,45,0.3,4.7,1,1,1,0
F076,88,63,45,0.53,50,20.3,0.9,8.59,0.6,2.39,23,2,17.5,31,0.28,4.2,1,1,0,1
F077,76,51,50,0.47,58,16,0.8,8.65,0.56,2.37,0,0,13.8,33,0.27,3.7,1,1,1,1
F078,75,83,70,0.5,63,20.3,0.8,8.53,0.58,2.47,27,3.2,23.2,44,0.32,3.8,1,1,1,0
F079,102,61,50,0.53,42,20,0.7,8.87,0.61,2.47,20,2.7,17.7,27,0.3,4.5,1,1,1,0
F080,68,71,35,0.63,60,23.3,0.9,8.31,0.66,2.53,0,0,22.3,53,0.3,5.8,1,1,1,0
F081,70,55,40,0.47,10,13.3,0.7,8.85,0.6,2.44,0,0,15.5,30,0.28,3.2,1,1,0,0
F082,91,83,50,0.5,65,23.7,1.1,8.57,0.63,2.49,27,5,23.7,47,0.3,5.8,1,1,1,0
F083,82,62,40,0.4,68,20.7,0.8,8.28,0.52,2.23,0,4,19,35,0.27,5.5,1,0,1,0
F084,67,73,50,0.5,58,23.7,1.1,8.88,0.51,2.43,45,0.5,22.5,43,0.33,5,1,1,1,0
F085,68,64,40,0.43,47,19.7,0.7,9.08,0.64,2.41,0,3.8,19.7,34,0.3,4.3,1,1,1,0
F086,69,66,50,0.5,53,18.3,0.9,8.69,0.63,2.54,23,3.5,20.7,54,0.37,6.3,1,1,1,1
F087,68,73,45,0.53,50,22.8,0.9,9.47,0.64,2.4,32,7.3,21.2,33,0.34,6.3,1,1,1,0
F088,80,64,50,0.5,53,22,0.8,8.71,0.57,2.35,27,1.3,16.3,31,0.3,3,1,1,1,0
F089,82,76,50,0.7,53,22.8,1,9.21,0.64,2.52,12,0,20.3,56,0.24,2.5,1,0,0,1
F090,70,70,35,0.43,62,15.8,0.8,8.49,0.54,2.33,28,4.5,18.3,42,0.31,3.7,1,1,1,0
F091,83,57,50,0.5,58,20.7,0.7,8.72,0.54,2.27,0,1.8,15,34,0.23,4.2,1,1,1,0
F092,88,72,50,0.47,58,16.3,0.7,9,0.64,2.43,0,3.8,20.7,26,0.33,6.3,1,1,1,0
F093,79,66,50,0.63,63,26.7,1.1,8.6,0.62,2.47,27,0,21.2,51,0.3,5.7,1,1,1,0
F094,90,61,50,0.5,63,25.7,0.9,8.5,0.57,2.4,18,0,22.5,35,0.27,5.3,1,1,1,0
F095,71,57,60,0.5,50,24.8,1,8.12,0.59,2.38,0,3.3,17.7,38,0.3,3.2,1,1,1,0
F096,73,59,35,0.57,33,21.7,1,7.76,0.59,2.65,0,0,17.7,59,0.25,3.7,1,1,0,1
F097,87,70,65,0.47,58,22.8,1,8.24,0.58,2.42,25,4.8,21.3,34,0.33,5.7,1,1,1,0
F098,68,67,45,0.47,52,19.7,0.9,8.96,0.6,2.4,0,3.5,18,32,0.33,4.7,1,1,1,0
F099,81,56,45,0.3,83,19.3,0.8,8.85,0.52,2.44,0,0,16.3,29,0.25,2.7,1,1,1,0
F100,76,62,50,0.47,30,24,0.8,9.55,0.57,2.07,0,0,20,35,0.31,4.7,1,1,1,0
F101,71,67,45,0.5,63,23.7,0.9,8.87,0.66,2.45,0,1.7,17.7,51,0.24,3.7,1,1,1,0
F102,81,73,50,0.47,70,21.7,1,8.85,0.6,2.44,17,0,24,51,0.3,3.7,1,1,1,0
F103,68,69,35,0.5,53,19.7,0.8,9.02,0.58,2.35,23,2,18.5,42,0.27,4,1,1,1,1
F104,92,73,70,0.53,57,25.5,1.1,9.05,0.6,2.67,23,0,20.8,53,0.25,6.3,1,1,1,1
F105,81,75,60,0.5,53,27.5,1.1,8.37,0.66,2.42,32,5.2,20.5,53,0.3,2.7,1,0,1,0
F106,74,65,60,0.53,68,17.3,0.6,9.1,0.65,2.43,0,4.2,16.7,28,0.33,4.3,1,1,1,0
F107,77,88,60,0.6,68,30,1,8.8,0.67,2.82,0,4.3,24.8,79,0.3,4.5,1,1,1,0
F108,81,78,35,0.47,100,18.7,0.8,9.3,0.63,2.43,0,2.8,17,38,0.24,3,1,0,1,0
F109,79,61,50,0.43,65,21,0.8,9.21,0.61,2.38,25,1.3,20.3,44,0.3,3.7,1,1,1,0
F110,82,84,50,0.47,57,19.7,0.7,8.65,0.54,2.32,0,10.7,16.3,33,0.38,4.2,1,1,1,0
F111,74,68,50,0.43,60,18.7,0.8,8.46,0.55,2.32,0,5.5,19.3,37,0.3,4.7,1,1,1,1
F112,77,68,45,0.5,47,17.7,0.8,9.09,0.68,2.54,0,0,18.7,34,0.31,5.7,1,1,0,0
F113,74,58,40,0.43,63,18,0.9,9.2,0.64,2.21,0,0,18.8,38,0.3,5,1,0,1,0
F114,74,63,50,0.5,48,21.8,0.8,8.61,0.63,2.39,27,3,17.3,40,0.31,4.5,1,1,1,0
F115,82,54,40,0.3,43,21.7,0.9,8.6,0.58,2.24,0,2.5,17.8,32,0.27,2.8,1,0,1,1
F116,77,71,60,0.47,35,24.3,1.2,8.69,0.62,2.44,28,2.7,21.5,52,0.3,4.7,1,1,1,0
F117,66,61,55,0.47,65,20.3,0.8,8.08,0.56,2.31,33,1.5,16.8,41,0.3,3.5,1,1,1,0
F118,74,61,65,0.4,62,21.8,0.8,8.15,0.47,2.51,17,0,13.5,43,0.3,0.1,1,1,1,0
F119,78,62,50,0.47,70,16,0.7,8.61,0.56,2.35,0,1.5,12.8,25,0.3,2.2,1,0,1,0
F120,81,73,35,0.6,55,23.2,1,8.58,0.55,2.56,27,1.2,21.7,58,0.27,4,1,1,1,1
F121,82,71,45,0.57,70,23.7,0.9,8.96,0.6,2.36,35,0,21,57,0.28,4.3,1,1,1,0
F122,76,67,40,0.47,50,18.7,0.9,8.79,0.54,2.51,0,2,19,39,0.3,4.2,1,1,1,1
F123,68,60,40,0.47,58,14.2,0.8,9.3,0.56,2.24,0,0.3,15.8,32,0.28,2.2,1,1,1,1
F124,93,63,50,0.57,52,21.8,0.9,9.06,0.68,2.86,25,0,21,41,0.29,4.3,1,1,0,0
F125,82,64,50,0.53,73,17.3,0.8,8.46,0.51,2.52,30,1,19.3,48,0.3,3.2,1,1,1,1
F126,70,75,50,0.53,83,19.7,1,9.16,0.61,2.47,30,2,22,46,0.3,3.3,1,0,1,1
F127,75,59,50,0.53,20,23.8,0.9,9.08,0.66,2.47,0,0,18.3,36,0.3,5.2,1,1,0,1
F128,67,65,50,0.6,50,22.7,0.8,8.48,0.57,2.55,23,0,20,47,0.3,4.8,1,0,1,1
F129,65,58,50,0.6,68,22.3,1.2,8.82,0.53,2.46,0,0,16.3,63,0.25,2.7,1,0,1,0
F130,67,61,50,0.5,57,16.7,0.8,8.65,0.58,2.47,0,1,22,37,0.32,5.5,1,1,1,0
F131,72,61,35,0.47,63,17.5,0.6,9.38,0.58,2.39,25,0.3,19.7,28,0.31,5.7,1,1,1,0
F132,79,75,60,0.47,72,19.8,0.9,8.89,0.53,2.46,28,5.8,19,37,0.32,5.7,1,1,1,0
F133,80,65,55,0.47,70,20,0.7,8.38,0.53,2.5,0,6,15.7,23,0.33,3.5,1,1,1,0
F134,75,65,50,0.53,67,20.3,0.9,9.02,0.68,2.84,20,1,18.3,42,0.3,4,1,1,1,0
F135,80,62,50,0.33,60,18.3,0.9,9.36,0.67,2.67,35,3,17.7,28,0.24,3.3,1,0,1,1
F136,67,77,50,0.5,60,17.8,0.9,8.99,0.62,2.46,22,8,17.7,47,0.3,2.7,1,1,1,1
F137,65,77,55,0.5,62,22,0.9,9.06,0.63,2.24,30,5.5,19.7,50,0.3,3.2,1,1,1,0
F138,66,73,50,0.53,63,21.7,1.1,8.96,0.66,2.61,37,4.2,23.3,56,0.28,6,1,1,1,0
F139,82,79,50,0.43,63,16.3,0.8,8.83,0.61,2.58,28,7.5,22.7,30,0.37,5.2,1,1,1,1
F140,74,65,40,0.47,63,16.3,0.8,9.28,0.65,2.54,28,4,19,24,0.35,5.8,1,1,1,0
F141,79,55,50,0.47,23,14.3,0.6,9.34,0.58,2.28,0,0,13.7,19,0.3,2.2,1,0,1,0
F142,73,73,50,0.5,67,22.2,0.8,8.35,0.61,2.53,25,2,23.5,38,0.32,5.3,1,1,1,0
F143,66,80,40,0.5,65,25.7,1,8.12,0.56,2.48,30,2.7,24.3,58,0.3,3,1,1,1,0
F144,86,64,50,0.5,53,22.7,0.9,9.27,0.64,2.55,25,3.5,22,30,0.3,6.3,1,1,1,0
F145,72,66,55,0.43,60,19.3,1,9.02,0.57,2.34,0,1.3,19.3,24,0.32,4,1,1,1,0
F146,71,68,50,0.43,105,26.7,1,8.74,0.57,2.21,0,4.8,19.3,42,0.28,3.7,1,1,1,0
F147,67,65,50,0.47,60,27.5,1.1,8.44,0.58,2.41,0,3.5,20.3,50,0.32,4.3,1,1,1,0
F148,70,58,45,0.53,78,16.7,0.8,8.92,0.52,2.52,10,0,18.8,32,0.31,1.7,1,0,1,0
F149,67,56,30,0.57,60,17,0.8,9.04,0.62,2.6,0,0,16.7,26,0.23,4.8,1,1,1,0
F150,77,71,45,0.57,52,18.7,0.8,8.59,0.62,2.58,0,2.7,19,27,0.4,5.3,1,1,1,1
F151,75,65,40,0.6,77,21.2,0.9,8.08,0.59,2.26,23,6.2,19.3,46,0.27,2.2,1,0,1,0
F152,73,64,40,0.47,68,22.3,0.9,8.44,0.46,2.28,20,1,18.3,43,0.27,4.3,1,1,1,1
F153,67,80,40,0.4,72,21.5,0.9,8.71,0.61,2.36,0,2.7,20.3,28,0.33,6.5,0,1,1,0
F154,67,69,70,0.5,57,23.7,1.1,8.26,0.51,2.16,30,3.7,16,37,0.25,2.5,1,0,1,0
F155,65,59,45,0.5,68,21,0.9,8.85,0.65,2.36,0,0,19.7,41,0.27,5.2,1,1,1,1
F156,65,75,60,0.53,60,27.3,0.9,8.98,0.65,2.36,30,3.8,21.5,51,0.32,5.5,1,1,1,0
F157,64,74,45,0.47,57,23.7,1,9.12,0.69,2.45,20,1.5,20.7,49,0.28,4.8,1,1,1,0
F158,64,61,50,0.5,80,19.5,0.8,8.85,0.6,2.44,0,0,18.8,28,0.31,5.2,1,1,1,0
F159,65,60,45,0.47,40,17.3,0.7,8.63,0.61,2.43,0,3.5,18.7,30,0.33,4.8,1,1,1,0
F160,76,61,50,0.4,58,19.8,0.9,9.28,0.65,2.63,23,2,15.5,26,0.26,4.2,1,1,0,1
F161,65,67,40,0.5,52,23,1.1,8.28,0.56,2.47,0,3.5,16.8,44,0.28,3,1,0,1,0
F162,66,57,45,0.53,70,19.7,0.9,8.81,0.65,2.54,0,0,17.8,40,0.3,4,1,1,1,0
F163,66,60,40,0.37,50,15.7,0.8,8.95,0.64,2.56,0,3.2,17.8,24,0.32,5.3,1,1,1,0
F164,65,63,30,0.5,77,17.3,0.8,8.74,0.49,2.25,0,2.8,17.8,35,0.32,2,1,0,1,0
F165,68,56,30,0.4,68,21.5,0.9,8.37,0.59,2.48,0,3.3,17.7,46,0.28,5.8,1,1,1,0
F166,67,59,45,0.5,75,20.5,1.1,8.61,0.57,2.68,0,1.8,18.8,49,0.3,4.8,1,1,1,0
F167,90,67,50,0.67,65,20.8,0.9,7.81,0.46,2.04,30,3.3,18.5,45,0.31,3.7,1,1,1,1
F168,64,62,30,0.53,73,19.3,0.9,8.35,0.5,2.18,20,1.7,16.5,36,0.31,3.2,1,1,1,0
F169,67,68,40,0.57,53,24.2,0.9,9.03,0.65,2.18,28,4.3,21,39,0.31,5.3,1,1,1,0
F170,66,67,50,0.47,95,24.8,1.2,9.91,0.68,2.36,20,2.5,18.8,39,0.3,2.8,1,0,1,0
F171,65,57,55,0.5,62,16.8,0.9,7.79,0.52,2.19,0,0,18.3,43,0.3,4,1,1,1,0
F172,64,62,50,0.53,45,18.7,1,9.17,0.63,2.38,22,2,16.8,37,0.3,5,1,1,1,0
F173,67,45,30,0.47,67,21.7,0.7,8.69,0.47,2.15,0,0,12.2,26,0.3,1.2,1,0,1,0
F174,66,63,35,0.43,63,20,0.8,8.26,0.55,2.28,18,2.7,19.8,41,0.32,4.7,1,1,1,0
F175,66,66,40,0.43,33,16.5,0.6,9.04,0.64,2.36,22,4.2,17.3,20,0.35,6.8,1,0,1,0
F176,71,72,50,0.4,63,20.2,0.8,9.2,0.66,2.33,18,3.5,21.3,27,0.3,6.2,1,1,1,0
F177,67,63,45,0.53,55,18,0.7,8.93,0.55,2.4,0,1,18.2,37,0.35,3,1,1,1,0
F178,89,70,45,0.53,60,22.5,0.8,9.5,0.67,2.6,13,1.3,19.8,29,0.3,5.7,1,1,1,0
F179,73,71,50,0.53,78,27.7,1.2,9.08,0.61,2.56,0,1.2,21.7,55,0.25,6,1,1,1,1
F180,71,64,40,0.43,57,19.8,0.9,8.81,0.63,2.44,0,2.7,18.7,41,0.3,4.3,1,1,1,0
F181,75,59,45,0.47,60,17.8,0.9,9.1,0.64,2.53,0,0,18.7,24,0.3,6.5,1,1,1,0
F182,65,66,40,0.57,47,22.5,0.9,9.01,0.69,2.55,0,0,19.7,44,0.27,5,1,1,1,0
F183,65,54,40,0.47,67,17.7,0.7,8.87,0.63,2.73,0,2.3,16,35,0.25,3.7,1,0,1,0
F184,84,79,50,0.47,73,20.5,0.9,9.31,0.6,2.19,0,1,21.7,47,0.3,2.7,1,0,1,1
F185,67,75,50,0.5,63,23.8,1.1,9.18,0.65,2.42,20,4.3,20,52,0.3,3.8,1,1,1,1
F186,66,66,45,0.4,47,17,1,8.83,0.58,2.49,0,6.2,17.7,26,0.33,4.7,1,1,1,0
F187,69,77,55,0.43,67,19.3,0.9,9.51,0.72,2.59,0,2.8,19.2,26,0.32,4.8,1,1,1,0
F188,63,68,45,0.53,63,20.3,1,8.87,0.58,2.43,0,3.3,18.3,39,0.33,5.8,0,1,1,0
F189,89,47,30,0.47,47,16.5,0.6,8.76,0.57,2.46,0,0,11.5,22,0.41,4.3,0,1,1,0
F190,86,91,50,0.5,70,26.7,0.9,9.08,0.66,2.63,23,1,26,60,0.25,2.8,1,1,1,0
F191,83,84,55,0.57,78,20,0.9,8.46,0.59,2.45,23,7.7,20.3,41,0.3,3.3,1,0,1,0
F192,83,66,65,0.53,63,21.2,1,8.61,0.57,2.54,18,1.7,20,48,0.24,4.8,1,1,1,0
F193,65,62,60,0.47,47,18.7,0.7,8.92,0.57,2.41,0,0,13.3,29,0.3,0.2,1,0,1,0
F194,104,75,50,0.47,75,15.7,0.9,9,0.6,2.12,18,7,19.7,31,0.31,5.3,1,1,1,0
F195,81,73,40,0.6,57,26.2,1.1,9.14,0.61,2.38,30,6.5,24,59,0.28,5.3,1,1,1,0
F196,65,79,45,0.47,83,19.7,1,9.47,0.67,2.56,0,3.3,21.3,37,0.31,5.2,1,1,1,0
F197,66,73,50,0.43,50,20.8,0.9,8.9,0.62,2.73,0,5.3,20.2,47,0.25,5,1,1,1,0
F198,109,100,30,0.47,53,29.2,0.9,9.24,0.56,2.28,0,7,21.8,30,0.35,3.2,1,1,1,1
F199,64,66,45,0.5,38,19,1.2,9.09,0.6,2.56,22,3.3,16.7,32,0.3,5.2,1,1,1,1
