ID,FH,CL,CH,CD,FLA,FLL,FLW,GL,GWE,GWI,PS,PE,PL,SN,ANL,AWL,AWC,SC,SE,BLSC
F200,66,77,30,0.53,65,18.3,0.9,8.69,0.6,2.34,0,7.3,18.8,27,0.31,4.7,1,1,1,0
F201,70,73,40,0.5,62,18.3,0,9.2,0.63,2.35,20,2.3,17.7,29,0.28,5.2,1,0,1,0
F202,67,71,55,0.5,78,20.7,0.8,9.08,0.6,2.42,0,1.8,18.3,29,0.3,6.2,0,1,1,1
F203,66,89,45,0.53,57,24.7,1.1,10.28,0.72,2.67,0,0,22.3,29,0.31,5.2,1,1,1,0
F204,74,89,50,0.53,57,28.5,0.9,8.72,0.63,2.74,27,4,17.8,32,0.25,6,1,1,1,1
F205,64,85,55,0.57,67,29.3,1,9.36,0.68,2.56,23,3.2,19.8,33,0.31,3.5,1,1,1,1
F206,72,79,30,0.5,50,22.7,1.2,8.85,0.6,2.44,0,4,19.7,40,0.3,4.8,1,1,1,0
F207,64,92,40,0.5,63,23.8,1,8.88,0.58,2.21,0,7.2,21,37,0.3,5.7,1,1,1,0
F208,67,92,50,0.53,82,21,1,9.2,0.7,2.59,0,7.7,18.7,29,0.29,0.5,1,0,1,1
F209,83,65,40,0.43,27,12.8,0.7,9.52,0.51,2.18,0,4.7,17.7,32,0.31,5.7,0,1,1,0
F210,69,83,80,0.5,82,23.2,1,8.68,0.58,2.39,0,3,23.3,40,0.31,5.3,1,0,1,0
F211,64,63,40,0.5,75,17.3,0.9,8.79,0.58,2.35,0,2.7,15.7,43,0.29,4,0,1,1,0
F212,63,62,40,0.53,57,16.5,0.9,8.8,0.54,2.19,0,6.7,16,31,0.3,2.5,1,1,1,1
F213,61,82,55,0.5,75,18.5,0.8,8.95,0.69,2.67,0,4.3,21.5,42,0.32,4.8,1,1,1,1
F214,63,84,40,0.5,68,20.7,1,9.13,0.64,2.56,37,6.7,17.5,37,0.31,4.8,1,1,1,0
F215,63,71,50,0.47,80,18.7,0.8,8.94,0.62,2.4,37,5.5,19.2,52,0.29,4.7,1,0,1,0
F216,87,76,35,0.47,78,20,0.9,8.15,0.48,2.36,0,4.7,19,29,0.3,4.7,1,1,1,0
F217,80,90,40,0.53,60,21.3,0.8,10.01,0.63,2.63,7,6.3,19.3,21,0.31,4,1,1,1,0
F218,107,79,50,0.43,65,23.8,1,9.52,0.53,2.41,22,6,18.8,55,0.3,4.5,1,0,0,0
F219,79,65,45,0.5,40,20.2,1,9.49,0.57,2.6,40,3.5,21.2,48,0.34,4.7,1,1,1,1
F220,73,93,40,0.5,50,25.5,1.1,8.85,0.65,2.59,32,6,25.5,72,0.28,5,1,1,1,0
F221,63,88,55,0.5,65,21.8,0.9,9.17,0.63,2.41,20,4.3,21.3,46,0.3,5.7,1,1,1,0
F222,65,75,60,0.5,43,18.5,1,8.92,0.61,2.46,32,6.5,18.7,44,0.3,5.3,1,1,1,1
F223,76,77,50,0.53,58,30.7,1.1,8.72,0.62,2.58,32,5.8,22.5,49,0.34,5.7,0,1,1,0
F224,81,70,45,0.53,33,22.2,0.7,8.74,0.46,2.39,17,3.5,22.8,58,0.28,5.5,1,1,1,1
F225,63,71,35,0.5,63,18.5,0.8,9.35,0.64,2.26,0,3.3,19.5,39,0.34,4.5,0,1,1,1
F226,64,75,55,0.5,62,19,0.9,8.99,0.58,2.26,23,6.3,20.7,34,0.3,5.7,1,1,1,0
F227,63,59,40,0.5,42,20.8,0.9,8.85,0.6,2.44,0,4.2,18,43,0.25,5.8,1,1,1,0
F228,63,86,50,0.6,75,24,0.9,9.35,0.63,2.41,0,6.5,23.3,44,0.31,4.7,0,1,1,0
F229,64,84,50,0.5,70,19.3,0.9,8.88,0.52,2.7,22,6.3,24.5,56,0.32,6.5,1,1,1,0
F230,63,90,40,0.47,68,23.2,1.1,9,0.57,2.61,22,4.5,24,68,0.3,7.3,1,1,1,0
F231,64,82,45,0.43,52,19.2,1,8.78,0.56,2.53,0,8.2,17.3,43,0.3,2,1,0,1,1
F232,63,91,50,0.47,72,19.2,0.8,8.52,0.58,2.57,0,3.5,19.3,35,0.25,5,1,1,0,0
F233,63,75,60,0.47,55,22.8,1.1,9.53,0.68,2.69,40,7.5,19.3,54,0.28,4.3,1,1,0,0
F234,71,83,35,0.4,65,23.3,1,8.72,0.63,2.44,0,8,22.3,50,0.3,6.8,1,1,1,0
F235,103,78,30,0.43,47,15,0.7,8.38,0.49,2.14,35,4,19.7,50,0.29,2.7,1,1,1,0
F236,72,75,45,0.4,47,24.3,1.1,8.23,0.55,2.49,0,2.3,19.5,54,0.23,4.7,1,1,1,0
F237,72,84,35,0.5,33,18.3,0.8,9.14,0.59,2.48,23,6.2,16.3,33,0.31,4.2,1,1,1,0
F238,73,84,25,0.5,38,23.2,1.1,8.68,0.62,2.51,0,4.3,20.3,40,0.3,4,1,1,1,0
F239,85,69,45,0.4,27,21,0.8,8.18,0.54,2.35,0,3.3,19.2,25,0.3,6.3,0,1,1,0
F240,78,70,40,0.47,37,10.8,0.7,8.85,0.6,2.44,0,2.7,19.7,39,0.28,4.3,1,1,1,0
F241,83,85,45,0.43,45,23.7,1.1,8.85,0.6,2.44,0,7.3,21.3,35,0.34,5.7,0,1,0,1
F242,82,88,45,0.53,77,22.8,1,8.42,0.69,2.61,33,7.5,22.5,53,0.3,5.2,1,0,1,0
F243,79,79,50,0.4,43,21.7,0.8,8.51,0.58,2.51,0,4.2,21.2,33,0.33,7.2,0,1,0,1
F244,79,73,40,0.5,77,22,0.9,9.06,0.66,2.59,0,3,18.7,51,0.24,5.7,0,1,1,0
F245,74,70,35,0.4,38,17.7,0.8,8.85,0.6,2.44,0,0.5,22.8,36,0.32,4.2,1,0,1,0
F246,78,88,45,0.53,65,20.2,1,8.93,0.64,2.44,25,5.7,19.5,49,0.31,0.7,1,0,1,0
F247,91,76,35,0.47,47,18.5,0.9,8.71,0.69,2.58,0,1.8,19.3,36,0.27,4,1,1,1,1
F248,85,79,45,0.47,45,20.7,0.9,9.17,0.67,2.73,22,5.3,21,36,0.31,6.5,0,1,0,0
F249,64,88,35,0.5,62,18.8,1,8.6,0.64,2.69,27,4.7,20.8,52,0.35,4.3,1,1,1,0
F250,63,72,40,0.37,67,18.3,0.9,9.07,0.57,2.37,27,3,21.3,35,0.33,6.2,1,1,0,1
F251,65,79,40,0.47,48,29.2,0.9,9.31,0.6,2.53,10,4.8,22.5,45,0.3,5.7,1,1,1,0
F252,75,82,45,0.43,48,18.5,0.9,9.3,0.55,2.77,28,8.3,22.8,41,0.31,5.8,1,1,1,0
F253,63,71,35,0.4,33,20,1.1,8.85,0.6,2.44,0,0,19.2,44,0.25,4.3,1,1,1,1
F254,70,86,50,0.43,42,19,0.9,9.22,0.6,2.21,27,8,21,48,0.28,5.2,1,1,1,0
F255,62,95,20,0.43,50,19.8,0.9,9.19,0.66,2.58,0,3,19.2,42,0.3,3.7,1,1,1,0
F256,65,89,40,0.47,67,30.2,1.2,8.39,0.56,2.64,27,5.3,24.2,75,0.31,6.3,0,1,1,0
F257,68,91,45,0.47,58,19.3,0.9,9.09,0.59,2.24,0,4.7,17.7,26,0.31,4.2,1,1,1,0
F258,76,74,15,0.37,20,18.7,0.8,8.25,0.42,2.41,0,3.8,15.8,19,0.25,3.8,0,1,1,0
F259,84,117,45,0.43,23,23.8,1,8.77,0.65,2.39,23,11.5,22.5,41,0.38,5.5,1,1,1,0
F260,64,75,45,0.5,77,21.5,1.2,8.37,0.6,2.53,25,6.8,20.8,63,0.3,6.3,1,1,1,0
F261,72,94,35,0.53,55,19,1,8.45,0.65,2.71,40,7.8,20.8,52,0.3,3.8,0,1,1,0
F262,63,95,40,0.4,60,23,1.1,9.24,0.59,2.46,27,7.2,23.2,44,0.33,7.2,0,1,1,0
F263,79,79,55,0.3,40,14.8,0.7,8.8,0.61,2.44,0,5.5,17,21,0.31,5.2,1,1,1,1
F264,72,81,55,0.5,47,26.8,1.1,8.79,0.66,2.52,23,6.2,22.8,60,0.31,6.7,0,1,1,1
F265,70,75,45,0.5,52,16.2,0.8,8.85,0.6,2.44,0,3,20.3,27,0.3,4.8,1,1,1,0
F266,65,69,20,0.43,33,15,0.8,8.65,0.59,2.24,0,0,15.2,18,0.28,1.8,1,1,1,0
F267,75,84,40,0.53,48,22.8,1.1,8.72,0.62,2.38,30,8.3,22,44,0.3,6.5,0,1,1,1
F268,89,86,45,0.47,78,22.3,1,8.16,0.62,2.54,30,5.3,22.2,48,0.3,7,1,1,1,0
F269,71,73,40,0.5,47,18,0.7,8.85,0.6,2.44,30,0.7,17,29,0.3,4.7,1,1,1,0
F270,74,92,35,0.43,68,23.7,0.8,8.56,0.62,2.39,23,5.7,21.3,34,0.28,5.8,1,1,1,0
F271,70,87,50,0.37,47,14.2,0.8,8.98,0.55,2.26,0,8.3,18.3,31,0.35,3.7,1,1,1,0
F272,72,65,50,0.37,43,11.2,0.9,8.85,0.6,2.44,0,2.5,16.2,18,0.3,4.7,1,1,1,0
F273,63,85,35,0.47,70,17.2,0.7,8.75,0.66,2.56,0,5.5,16.2,41,0.35,4.5,0,1,1,0
F274,62,78,40,0.43,67,19.5,0.8,8.74,0.67,2.46,0,2.2,18.8,27,0.3,7.2,1,1,1,0
F275,66,70,50,0.53,43,18.3,0.9,8.76,0.68,2.71,33,3,24.3,42,0.3,7.3,0,1,1,0
F276,73,87,30,0.43,62,21.3,0.9,9.02,0.61,2.46,23,6.7,19,35,0.3,5.3,1,1,1,0
F277,88,66,50,0.33,37,19.8,1,8.54,0.54,2.34,0,6.5,22.2,30,0.37,5.8,1,1,1,0
F278,70,89,35,0.43,42,18.8,0.6,8.85,0.6,2.44,0,5,17.5,14,0.31,4.5,1,1,1,0
F279,64,85,40,0.47,70,17.3,0.8,8.85,0.6,2.44,23,6,18,27,0.34,5,1,1,0,0
F280,63,85,40,0.5,45,18.2,1,9.22,0.7,2.54,28,6,20.5,48,0.3,5.3,1,1,0,0
F281,72,86,45,0.5,47,19.3,1,9.45,0.6,2.5,20,6.8,19.3,40,0.31,4.3,1,1,1,1
F282,85,89,40,0.43,68,19.7,0.8,8.46,0.54,2.43,22,6.7,23.3,36,0.31,5.7,0,1,1,0
F283,68,86,60,0.43,68,23.5,1.1,8.91,0.56,2.59,17,3.3,24.7,52,0.25,7.7,1,1,1,0
F284,69,88,55,0.37,75,21.7,0.9,9.01,0.61,2.44,0,4.2,19.3,34,0.28,5.7,1,1,1,0
F285,76,81,50,0.5,52,20.8,0.9,9.59,0.65,2.38,28,6.7,21,39,0.32,4.8,1,1,1,0
F286,70,82,35,0.4,33,17.5,0.9,8.85,0.6,2.44,0,3.5,18.8,28,0.32,4.7,1,0,1,0
F287,65,96,35,0.43,42,19.3,1,8.98,0.64,2.33,0,6.8,22,34,0.33,6.2,0,1,1,1
F288,68,91,50,0.53,77,26,0,8.56,0.57,2.42,22,3.3,20.3,46,0.31,5.2,1,1,1,1
F289,73,75,60,0.5,70,23.2,1.1,8.21,0.58,2.54,22,6.5,21.7,57,0.33,8.5,1,1,1,0
F290,88,90,40,0.47,53,21.2,1,8.85,0.65,2.61,0,7.5,19.8,37,0.28,6,0,1,1,1
F291,73,63,50,0.47,43,21.2,1.2,9.35,0.62,2.65,0,2.8,16.7,43,0.25,5,1,1,0,1
F292,79,82,25,0.4,37,20.3,0.9,8.77,0.58,2.42,0,7.3,19.3,30,0.35,7.3,1,1,1,0
F293,87,91,40,0.43,80,26,1.1,9.02,0.65,2.56,28,5,23.7,60,0.3,6.3,1,1,0,0
F294,70,82,30,0.43,43,19.5,0.9,9.24,0.6,2.81,0,4.3,16.8,33,0.33,4.2,0,1,1,1
F295,73,96,45,0.47,63,20.5,0.9,8.6,0.53,2.38,25,4.3,17.5,40,0.28,4.2,1,0,1,1
F296,66,91,25,0.4,38,20.7,0.8,9.45,0.67,2.55,28,3.8,20.5,35,0.3,4.7,1,0,1,0
F297,81,76,30,0.37,32,14,0.7,8.21,0.58,2.35,0,5.8,14.7,21,0.25,3.8,1,1,1,1
F298,69,97,50,0.43,67,26.2,1.1,8.16,0.6,2.47,27,6,19,60,0.31,4.8,0,1,1,0
F299,73,94,35,0.4,55,18,0.9,8.85,0.6,2.44,0,6.3,21.7,27,0.34,4,1,1,1,0
F300,65,95,50,0.47,87,23,1.2,8.05,0.59,2.42,27,5.7,21.7,60,0.23,4.3,1,0,1,0
F301,63,89,35,0.43,53,23.3,0.8,8.68,0.55,2.44,15,5.5,18.8,33,0.31,7.2,0,1,1,0
F302,105,88,60,0.43,68,27.2,0.9,8.75,0.61,2.6,27,4.2,24.7,51,0.33,6.5,1,1,1,0
F303,69,97,45,0.4,88,16.7,0.9,8.85,0.6,2.44,0,8.2,16.7,19,0.28,4.8,1,1,1,0
F304,66,82,50,0.47,62,21,0.8,8.38,0.58,2.37,0,3.8,20.5,29,0.34,7.5,1,1,1,1
F305,63,104,30,0.5,48,20.8,1,8.71,0.64,2.75,30,11.2,23.7,41,0.3,6.5,1,0,1,1
F306,79,91,30,0.33,60,17.7,0.9,8.86,0.61,2.4,0,6.7,22.3,36,0.31,7.3,1,1,1,0
F307,97,87,35,0.37,52,16.2,0.8,9.02,0.6,2.12,32,8.7,21.7,35,0.4,5.7,0,1,1,0
F308,71,76,40,0.43,75,17.3,0.9,8.6,0.66,2.49,0,3.5,20.2,32,0.3,4.2,1,0,1,1
F309,70,73,40,0.43,43,22.8,0.9,9.25,0.74,2.5,27,4.3,20.8,36,0.31,6.3,0,1,1,1
F310,68,91,40,0.5,48,23.2,1,9.17,0.67,2.48,27,6.8,21.2,53,0.3,5.3,1,1,1,0
F311,73,94,55,0.4,68,22.2,1,8.72,0.6,2.45,30,5.5,21.5,46,0.27,4.7,1,1,1,1
F312,78,72,40,0.47,67,15.3,0.8,8.36,0.56,2.44,0,2.7,16.3,26,0.23,3.8,1,1,1,0
F313,73,94,50,0.5,63,20,0.9,8.25,0.56,2.36,28,3.8,23.7,46,0.32,7.5,1,1,1,0
F314,76,95,50,0.47,67,26.2,1.1,8.33,0.61,2.53,0,5.5,25.8,52,0.31,8.2,0,1,1,1
F315,79,85,50,0.43,63,17.7,0.9,9.64,0.61,2.36,30,7.2,19,34,0.33,6.8,1,1,1,1
F316,62,87,45,0.33,58,23.7,1.1,8.74,0.59,2.22,0,5.5,18.2,29,0.31,3.8,1,0,1,0
F317,64,96,50,0.5,35,23.7,0.8,8.52,0.6,2.51,17,7.8,21.2,43,0.27,6.8,1,1,1,1
F318,85,90,30,0.4,60,23.2,0.9,9.08,0.59,2.18,30,7.2,18.2,29,0.34,5,1,0,1,0
F319,64,91,55,0.4,58,21.3,0.8,8.62,0.67,2.29,35,7.8,25.7,52,0.33,6.3,0,1,1,0
F320,103,102,50,0.43,85,26.3,0.9,8.95,0.61,2.32,42,5.8,27.2,44,0.32,6.8,1,1,1,0
F321,77,95,50,0.43,53,17,0.9,8.99,0.68,2.59,28,7.7,23.5,30,0.35,8,0,1,1,0
F322,89,105,50,0.5,63,26.3,1,8.94,0.56,2.36,27,7.2,22.2,44,0.31,5.8,1,1,1,0
F323,79,75,30,0.4,52,16.8,0.9,9.89,0.68,2.47,0,3.3,19,35,0.28,4.2,0,1,1,0
F324,73,85,40,0.47,55,15,0.7,8.98,0.54,2.61,0,5.3,18,26,0.3,6.2,1,1,1,1
F325,82,95,55,0.5,65,17,0.7,8.98,0.59,2.32,0,5,21.8,28,0.32,2,1,0,1,0
F326,74,66,40,0.43,60,15.3,0.9,8.73,0.67,2.79,25,2.5,19.3,39,0.26,6,1,1,1,0
F327,84,81,35,0.37,58,19.3,1.1,8.92,0.59,2.59,28,6.5,20.3,36,0.3,5.3,1,1,1,0
F328,63,89,50,0.47,32,18.2,1,9.48,0.63,2.44,35,5,20.3,45,0.32,4.8,1,1,1,0
F329,80,98,35,0.37,52,23.2,0.8,8.9,0.55,2.24,0,9,17.5,25,0.32,4.2,1,1,1,0
F330,79,90,50,0.43,73,16.3,0.9,8.72,0.58,2.7,25,4.5,20.5,46,0.3,2.3,1,0,1,0
F331,73,83,50,0.43,53,22.3,0.9,8.56,0.58,2.57,32,1.5,25.2,61,0.32,5.8,1,1,1,0
F332,72,64,50,0.4,30,16.8,0.8,8.67,0.61,2.64,0,0,16,20,0.3,4.2,1,1,1,0
F333,74,88,50,0.47,65,21.8,0.6,8,0.5,2.23,20,5.7,21,35,0.28,8.3,1,1,1,0
F334,63,77,50,0.47,63,16.8,1,8.75,0.67,2.66,27,4,20.2,36,0.27,1.5,1,0,1,0
F335,65,72,45,0.4,60,22.2,0.9,8.72,0.63,2.73,0,3,21.3,55,0.3,6.3,1,1,1,0
F336,78,85,45,0.53,58,22.2,0.9,9.02,0.64,2.72,12,4.2,19.3,33,0.32,5.8,1,1,1,0
F337,72,81,60,0.53,73,18.5,0.9,9.12,0.66,2.43,0,4.3,18.2,32,0.3,5.2,1,1,1,0
F338,72,93,45,0.5,58,19.8,0.8,9.06,0.58,2.38,30,2.2,16.8,27,0.25,4.7,0,0,1,0
F339,64,86,40,0.43,82,17,0.9,9.77,0.59,2.49,25,4.7,19.2,33,0.33,5.8,1,1,1,0
F340,70,83,45,0.37,58,22.2,0.9,8.52,0.57,2.35,0,4.8,20.2,40,0.32,7.3,0,1,1,0
F341,71,93,50,0.47,57,20.5,0.8,8.79,0.57,2.24,25,5.7,20.3,39,0.34,6,1,1,1,0
F342,78,79,50,0.5,47,18.5,1,8.87,0.7,2.57,0,3,19.2,35,0.25,5,1,0,1,0
F343,73,77,55,0.4,60,18.7,0.8,9.41,0.6,2.37,30,4.8,20.7,35,0.33,6,0,1,1,0
F344,76,76,25,0.57,30,17.7,0.8,9.15,0.65,2.62,0,0,17.7,30,0.26,6.3,0,1,1,1
F345,65,71,45,0.5,32,20.2,1,8.6,0.65,2.67,0,0,24,53,0.3,6.5,0,1,1,0
F346,82,87,45,0.5,53,19.7,1,8.66,0.61,2.7,30,5.3,22.3,51,0.28,7,0,1,1,1
F347,67,81,25,0.37,75,15.2,0.8,9.16,0.57,2.57,0,4.5,17.3,25,0.31,4.8,1,1,1,1
F348,77,94,50,0.37,55,21,0.9,8.11,0.5,2.33,33,7.5,22.7,42,0.31,4.5,1,1,1,0
F349,70,69,30,0.5,45,13.7,0.8,8.86,0.56,2.32,0,4.3,14.5,30,0.31,3.8,1,1,1,1
F350,91,74,45,0.4,48,20.5,0.7,9.02,0.51,2.22,0,3.7,21.3,36,0.35,3.3,1,1,1,1
F351,73,82,45,0.47,57,21.5,1.1,8.17,0.56,2.45,30,3.8,22,45,0.34,4,1,1,1,0
F352,76,91,30,0.43,28,25,0.9,9.19,0.59,2.42,0,5.2,21.2,21,0.32,6.3,0,1,1,0
F353,79,72,50,0.5,65,22,1,8.72,0.67,2.57,33,5,20.8,36,0.35,5.7,1,1,1,0
F354,79,77,50,0.53,68,24.3,1,8.49,0.64,2.59,30,1.8,22.3,63,0.28,5.7,1,1,1,0
F355,74,83,50,0.47,38,22.5,1.4,9.23,0.71,2.7,25,4.3,23.5,40,0.28,7.2,1,1,1,0
F356,85,69,50,0.47,63,15,0.7,9.53,0.67,2.56,0,4.3,21,28,0.35,5.8,1,1,1,0
F357,80,85,45,0.43,50,17.5,0.9,9.69,0.63,2.71,18,7.5,23.5,38,0.3,6.3,1,1,1,1
F358,82,79,50,0.5,40,23.3,1,8.39,0.58,2.56,27,5.8,22.7,51,0.31,6.8,1,1,1,1
F359,70,77,55,0.4,22,30.2,1.2,8.4,0.61,2.76,0,3.7,17.8,35,0.28,7.2,1,0,1,0
F360,68,73,50,0.5,62,20.7,0.8,8.93,0.61,2.5,23,3.7,24.3,42,0.34,6.7,0,1,1,0
F361,70,85,60,0.5,50,17.8,0.9,8.94,0.54,2.49,0,5.7,19.7,44,0.37,5.3,0,1,1,1
F362,76,80,35,0.43,52,18.3,0.9,8.8,0.61,2.43,25,4.7,20,59,0.3,5.7,1,1,1,0
F363,72,77,45,0.43,42,23.8,0.8,8.67,0.51,2.12,0,2.2,19.8,25,0.38,6.2,1,1,1,0
F364,84,92,50,0.47,42,19.8,0.9,9.43,0.56,2.45,27,5,20.5,35,0.3,5.2,1,1,1,1
F365,103,71,45,0.47,40,21.2,0.8,8.85,0.6,2.44,15,6,22.8,36,0.4,5.2,1,1,1,0
F366,74,95,25,0.5,55,17.3,0.8,8.65,0.57,2.3,0,7.8,16.7,35,0.3,4,1,1,1,0
F367,74,87,50,0.5,62,18.8,0.9,9.37,0.62,2.44,38,5.3,19.8,38,0.28,4,1,0,1,0
F368,65,87,30,0.4,42,22.7,0.9,9.32,0.64,2.5,0,3.7,19.3,24,0.35,5.7,0,1,1,0
F369,81,86,45,0.33,60,17.5,0.8,8.49,0.65,2.66,27,5.2,19,31,0.36,6.7,1,1,1,0
F370,64,62,50,0.5,50,17.2,1,8.61,0.66,2.64,0,3.5,18.7,43,0.25,4.8,1,1,0,0
F371,73,77,60,0.47,47,13,0.8,9.27,0.6,2.35,35,5.8,21,31,0.35,6,1,1,1,0
F372,68,83,50,0.53,65,19.7,1.1,8.68,0.53,2.44,32,3,21.2,61,0.25,3.8,0,0,1,0
F373,83,64,40,0.43,68,19.3,1,8.97,0.61,2.65,0,3.8,18.5,23,0.25,5.5,1,1,1,0
F374,72,89,60,0.57,80,23.3,0.8,9.5,0.55,2.22,27,5,18.8,35,0.35,3.3,1,1,1,0
F375,75,70,45,0.4,57,12.5,0.7,9.08,0.58,2.33,33,1,20,38,0.3,4.5,1,1,1,0
F376,69,84,40,0.47,48,24.7,1,8.91,0.69,2.76,32,8,21.8,48,0.25,6.3,1,1,1,1
F377,86,89,45,0.47,60,25.7,1.1,8.85,0.62,2.34,38,9.2,27.5,41,0.3,6.3,1,1,1,0
F378,66,66,60,0.5,68,17.3,0.7,8.59,0.55,2.45,0,4.2,14.3,25,0.25,3.2,1,1,1,1
F379,63,57,60,0.5,18,15.7,1,7.92,0.55,2.56,0,0.7,17.7,46,0.27,5.3,1,1,1,0
F380,73,61,50,0.53,50,20.7,1.1,9.33,0.62,2.65,0,1.2,18.3,55,0.27,0.8,1,0,1,0
F381,86,72,50,0.47,63,22.7,1,8.94,0.59,2.41,28,8.7,22.7,50,0.33,4,1,1,1,0
F382,98,67,45,0.5,60,23.8,0.8,8.93,0.59,2.42,28,5.5,22.7,34,0.45,5.3,1,1,1,0
F383,77,68,50,0.43,67,19.3,0.8,8.86,0.59,2.43,0,2,20.3,36,0.3,5.2,1,0,1,0
F384,70,65,30,0.57,62,21.3,0.9,8.89,0.66,2.31,0,0,20.7,37,0.3,5.5,1,1,1,0
F385,79,65,45,0.4,63,19.5,0.9,8.95,0.59,2.35,0,4.3,19.7,26,0.32,3.5,1,1,1,1
F386,107,84,50,0.5,63,19.8,0.8,9.28,0.63,2.45,22,2.7,22.7,38,0.32,4.3,1,1,1,0
F387,72,69,40,0.53,62,20.2,0.7,8.41,0.57,2.36,22,2,21.8,37,0.31,4.8,1,1,1,1
F388,79,55,50,0.6,77,15,0.8,8.85,0.62,2.28,0,0,16.3,46,0.28,2.2,1,0,1,0
F389,83,64,60,0.47,67,27,1.1,9.37,0.62,2.3,0,0,20.7,46,0.2,4.8,1,1,1,0
F390,78,48,65,0.33,60,23.2,0.8,9.26,0.64,2.38,0,0.8,19.5,30,0.28,6,1,1,1,1
F391,70,50,50,0.43,55,18.3,0.7,8.7,0.63,2.23,0,0,13.7,24,0.28,3.5,1,1,0,1
F392,73,70,50,0.57,52,21.7,0.8,8.41,0.53,2.34,20,0,21,52,0.3,2.7,1,0,1,0
F393,73,64,60,0.53,47,23.5,1.1,8.97,0.61,2.43,42,0,21.7,63,0.3,4.7,1,1,1,0
F394,70,48,30,0.43,57,18.2,1,8.85,0.6,2.44,0,0,12.7,30,0.21,1.3,1,1,1,0
F395,70,55,35,0.37,30,13.5,0.6,8.59,0.58,2.53,0,0,13.2,32,0.28,4.7,1,1,0,0
F396,70,59,60,0.37,97,16.8,1,8.85,0.6,2.44,22,0,17.5,31,0.3,3.7,1,1,1,0
F397,72,71,60,0.57,63,23.3,1,8.81,0.53,2.49,0,0,20.7,44,0.28,5.7,1,1,1,1
F398,66,60,45,0.53,50,18.7,0.9,9.13,0.64,2.49,0,0,15,33,0.3,4,1,1,1,0
