ANL,FH,PE,SE,AWL,CD,CH,CL,FLA,FLL,FLW,GL,GWE,GWI,PL,PS,SN,AWC,BLSC,SC
0.25,69,0,1,6,0.37,40,46,48,14,0.9,8.69,0.52,2.56,13.7,0,23,1,0,1
0.31,84,3,1,3.8,0.47,50,56,62,17.7,0.7,7.7,0.41,2.17,14.8,0,41,1,0,1
0.28,86,0,1,2.8,0.5,40,52,33,21.3,0.8,8.85,0.6,2.44,15.2,0,30,1,0,1
0.31,79,1.7,1,4.7,0.57,45,60,77,22,1,8.53,0.58,2.36,17.3,0,46,1,0,1
0.3,78,3.5,1,5.3,0.5,50,61,58,20,0.8,8.84,0.61,2.26,18.2,25,38,1,0,1
0.3,85,0.7,1,4.7,0.53,65,70,58,21.7,1.1,8.75,0.6,2.31,20.3,30,52,1,0,1
0.31,87,2.3,1,4.8,0.57,50,69,50,23.3,1.3,8.77,0.52,2.35,21.7,33,38,1,0,1
0.2,74,2,1,5.8,0.53,55,65,62,34,1,8.13,0.54,2.39,20.3,23,58,1,0,1
0.3,79,1.2,1,5.3,0.53,40,76,60,22.7,1,8.78,0.59,2.37,22.7,23,40,1,0,1
0.32,74,1.3,0,5.3,0.5,45,57,48,26.7,1.1,8.7,0.58,2.57,22.3,35,59,1,0,1
0.3,75,1.3,1,4.3,0.5,55,61,65,25.2,0.9,8.67,0.57,2.41,20.7,30,60,1,0,1
0.33,78,4.2,1,4.5,0.53,50,70,88,22,0.9,9.32,0.65,2.36,19,30,43,1,0,0
0.33,74,2.8,1,4.2,0.53,35,79,55,23.7,0.9,9.07,0.6,2.58,20.7,0,37,1,1,1
0.3,67,0,1,1.5,0.5,45,64,70,20.7,0.9,8.85,0.6,2.44,19.5,0,50,1,0,1
0.28,75,3.7,1,3.8,0.53,30,94,77,21.3,0.8,8.43,0.58,2.41,19.2,27,36,1,1,0
0.32,86,1.8,1,5.3,0.6,50,71,58,20.3,1,9.18,0.6,2.46,21.7,32,36,1,0,1
0.25,85,0,1,2.3,0.43,40,61,70,22,0.8,9.65,0.66,2.35,19.3,0,27,1,0,0
0.31,86,2.2,1,4.2,0.5,35,59,63,20.7,0.9,7.97,0.5,2.31,17.7,28,39,1,0,1
0.3,82,1,1,2.3,0.47,60,60,60,18.3,0.8,9.09,0.54,2.45,18,23,39,1,0,1
0.28,80,1.2,1,1.8,0.53,30,64,73,19,0.9,8.51,0.53,2.22,16.7,22,44,1,0,0
0.27,79,0,0,3.5,0.73,40,84,58,26.3,1.1,9.33,0.6,2.51,25,23,59,1,1,0
0.25,99,0,1,3,0.4,40,44,0,13.8,0.7,8.9,0.49,2.27,13.5,0,15,1,0,1
0.32,77,2.3,0,5.7,0.57,50,60,55,23,1,9.14,0.66,2.54,21.8,32,66,1,1,1
0.31,90,3.5,1,5.8,0.5,45,73,38,25.3,0.9,9.23,0.61,2.46,25.3,28,44,1,0,1
0.25,77,0,1,2.2,0.3,40,50,62,19,0.9,9.38,0.62,2.36,15.8,0,33,1,0,0
0.3,74,0.7,1,5.7,0.5,40,66,67,22,1,8.53,0.62,2.49,21,32,39,1,0,1
0.3,72,4.7,1,3.7,0.4,70,60,60,19.5,0.9,8.48,0.56,2.36,19.8,33,38,1,0,1
0.27,97,0,0,5.3,0.53,60,59,47,25.3,1,8.09,0.51,2.58,19.3,28,43,1,0,1
0.3,76,5.5,1,4.2,0.53,55,69,67,27.3,1.1,8.92,0.62,2.47,23.7,32,61,1,0,1
0.25,70,4.5,1,4,0.43,40,60,77,22.5,0.8,9.24,0.65,2.38,17,22,28,1,0,1
0.24,81,0,1,4.3,0.6,50,66,78,23.3,1,8.33,0.63,2.85,21.3,7,50,1,1,1
0.3,82,4.2,1,2.7,0.5,55,69,48,24.3,0.9,8.77,0.55,2.28,19.7,27,46,1,0,1
0.32,69,3.8,1,5.5,0.47,50,67,65,21.3,1,9.13,0.58,2.58,19,0,33,1,0,1
0.28,70,4.3,1,3.7,0.37,50,68,60,19.8,0.9,9.32,0.6,2.59,18.7,27,41,1,0,1
0.3,88,1.3,1,7.2,0.5,45,65,37,28.2,1.1,9.67,0.71,2.78,24,28,52,1,1,1
0.34,77,0.7,1,5.5,0.53,45,64,65,23.3,1.1,9.6,0.7,2.59,20.3,18,33,1,0,1
0.3,69,2,1,3.2,0.43,55,65,75,21.2,0.9,9.1,0.62,2.5,19,0,35,1,1,1
0.33,81,2.5,1,4.5,0.43,55,64,55,21,1,9.49,0.62,2.62,20.7,32,39,1,0,1
0.3,69,1.5,1,4.7,0.47,45,57,57,20,0.9,8.81,0.56,2.55,20.3,0,47,1,1,1
0.31,86,3,1,4,0.5,40,55,40,16.5,1.1,8.77,0.61,2.45,16.3,0,33,1,0,1
0.33,77,5.7,1,3.8,0.33,45,61,90,18,0.7,8.51,0.57,2.4,20.3,15,32,1,0,1
0.27,77,1.3,1,4.7,0.57,40,59,55,21.3,0.9,8.96,0.58,2.44,20,0,38,1,0,1
0.28,86,1,1,2,0.5,50,68,55,21.7,0.9,9.3,0.55,2.28,21.8,0,56,1,1,1
0.32,77,3.8,1,3.7,0.47,60,67,72,26.2,1.2,8.55,0.49,2.35,20.3,27,62,1,0,1
0.3,73,4.7,1,5.5,0.53,35,66,57,24,0.9,8.95,0.63,2.35,19.2,20,47,1,0,1
0.3,78,0.5,1,4,0.53,60,68,60,21,0.8,7.96,0.51,2.39,18,0,46,1,0,1
0.31,69,3,1,4.7,0.4,30,57,62,17.7,0.9,9.52,0.67,2.29,16.7,0,24,1,0,1
0.24,75,1,0,3.2,0.47,40,66,53,19.8,0.8,8.85,0.6,2.44,18.7,0,32,1,1,1
0.3,84,4.7,1,3.5,0.63,45,65,47,19.3,1,9.27,0.61,2.45,18.8,25,42,1,0,1
0.25,67,1.8,1,2.7,0.5,45,64,57,22,0.9,9.1,0.63,2.6,17.5,30,47,1,0,1
0.31,73,1,1,5.7,0.53,55,73,67,30.7,1,9.33,0.64,2.55,25.3,32,61,1,0,1
0.31,88,2.3,1,4.2,0.5,55,67,65,18.3,0.9,8.96,0.55,2.46,17,32,31,1,0,1
0.31,76,4.5,1,3.7,0.53,50,79,53,21,0.8,8.56,0.57,2.4,19.2,17,38,1,0,0
0.3,69,0,1,3.8,0.43,40,54,60,20,0.7,8.92,0.55,2.17,16,0,25,1,0,1
0.25,70,4,1,5,0.4,30,65,55,23.3,0.9,8.77,0.6,2.39,20.3,0,32,1,0,1
0.31,69,0,0,3.7,0.5,45,77,65,24.5,0.8,9.37,0.7,2.64,20,25,36,1,1,1
0.3,68,2.3,1,6,0.5,50,73,53,18.3,0.8,9.6,0.67,2.6,19.3,0,37,1,0,1
0.3,75,2.5,1,4.5,0.47,45,63,73,25.8,1,9.39,0.56,2.35,19.2,0,46,1,1,1
0.25,68,3.2,1,1.8,0.37,40,61,63,18.7,0.9,9.5,0.6,2.26,16,0,36,1,0,1
0.3,85,2.7,1,3.7,0.67,50,70,63,23.7,0.9,9.47,0.58,2.35,23.7,30,49,1,1,1
0.27,83,5.8,1,4,0.6,70,77,70,34.2,1.1,8.49,0.59,2.45,23.7,33,60,1,1,1
0.31,71,1.5,1,4.8,0.4,45,61,88,23,1,8.77,0.62,2.75,21.3,0,41,1,0,1
0.3,86,4,1,2.3,0.57,45,67,50,17.5,0.8,9.01,0.62,2.47,17,0,35,1,1,0
0.3,69,1.5,1,3.5,0.47,50,67,63,22.7,1,8.71,0.59,2.56,21,35,41,1,0,0
0.3,75,1,1,4.3,0.6,50,60,60,23.7,1,8.14,0.6,2.32,18.7,0,33,1,1,1
0.2,68,0,1,1.8,0.53,50,63,72,22.8,0.9,8.85,0.65,2.42,18,0,49,1,1,0
0.3,69,3,1,2.7,0.53,45,54,50,24,0.9,7.72,0.46,2.68,15.8,0,32,1,0,1
0.28,67,1.8,1,2.5,0.5,50,64,38,20,0.7,8.86,0.57,2.35,17.3,40,39,1,0,1
0.31,78,5.7,1,4.3,0.57,50,87,48,23.2,1,8.56,0.64,2.64,25.2,28,62,1,1,1
0.3,77,0,1,5.2,0.47,50,63,53,17.3,0.7,8.64,0.56,2.23,17,0,31,1,1,1
0.28,69,0,1,4.7,0.53,40,65,67,25.2,1,8.79,0.54,2.46,20.3,0,45,1,0,1
0.3,73,1.5,1,4.5,0.57,50,65,40,18.3,0.8,8.54,0.52,2.35,18.8,0,36,1,0,1
0.24,68,0,1,4.7,0.43,60,65,47,24.8,0.9,8.72,0.63,2.5,21.5,0,46,1,0,1
0.28,84,1.5,1,4,0.5,50,62,67,23.7,0.8,8.7,0.59,2.26,17.7,0,35,1,0,1
0.3,79,0,1,4.7,0.5,60,66,62,19.5,1,8.43,0.55,2.49,19.3,27,45,1,0,1
0.28,88,2,0,4.2,0.53,45,63,50,20.3,0.9,8.59,0.6,2.39,17.5,23,31,1,1,1
0.27,76,0,1,3.7,0.47,50,51,58,16,0.8,8.65,0.56,2.37,13.8,0,33,1,1,1
0.32,75,3.2,1,3.8,0.5,70,83,63,20.3,0.8,8.53,0.58,2.47,23.2,27,44,1,0,1
0.3,102,2.7,1,4.5,0.53,50,61,42,20,0.7,8.87,0.61,2.47,17.7,20,27,1,0,1
0.3,68,0,1,5.8,0.63,35,71,60,23.3,0.9,8.31,0.66,2.53,22.3,0,53,1,0,1
0.28,70,0,0,3.2,0.47,40,55,10,13.3,0.7,8.85,0.6,2.44,15.5,0,30,1,0,1
0.3,91,5,1,5.8,0.5,50,83,65,23.7,1.1,8.57,0.63,2.49,23.7,27,47,1,0,1
0.27,82,4,1,5.5,0.4,40,62,68,20.7,0.8,8.28,0.52,2.23,19,0,35,1,0,0
0.33,67,0.5,1,5,0.5,50,73,58,23.7,1.1,8.88,0.51,2.43,22.5,45,43,1,0,1
0.3,68,3.8,1,4.3,0.43,40,64,47,19.7,0.7,9.08,0.64,2.41,19.7,0,34,1,0,1
0.37,69,3.5,1,6.3,0.5,50,66,53,18.3,0.9,8.69,0.63,2.54,20.7,23,54,1,1,1
0.34,68,7.3,1,6.3,0.53,45,73,50,22.8,0.9,9.47,0.64,2.4,21.2,32,33,1,0,1
0.3,80,1.3,1,3,0.5,50,64,53,22,0.8,8.71,0.57,2.35,16.3,27,31,1,0,1
0.24,82,0,0,2.5,0.7,50,76,53,22.8,1,9.21,0.64,2.52,20.3,12,56,1,1,0
0.31,70,4.5,1,3.7,0.43,35,70,62,15.8,0.8,8.49,0.54,2.33,18.3,28,42,1,0,1
0.23,83,1.8,1,4.2,0.5,50,57,58,20.7,0.7,8.72,0.54,2.27,15,0,34,1,0,1
0.33,88,3.8,1,6.3,0.47,50,72,58,16.3,0.7,9,0.64,2.43,20.7,0,26,1,0,1
0.3,79,0,1,5.7,0.63,50,66,63,26.7,1.1,8.6,0.62,2.47,21.2,27,51,1,0,1
0.27,90,0,1,5.3,0.5,50,61,63,25.7,0.9,8.5,0.57,2.4,22.5,18,35,1,0,1
0.3,71,3.3,1,3.2,0.5,60,57,50,24.8,1,8.12,0.59,2.38,17.7,0,38,1,0,1
0.25,73,0,0,3.7,0.57,35,59,33,21.7,1,7.76,0.59,2.65,17.7,0,59,1,1,1
0.33,87,4.8,1,5.7,0.47,65,70,58,22.8,1,8.24,0.58,2.42,21.3,25,34,1,0,1
0.33,68,3.5,1,4.7,0.47,45,67,52,19.7,0.9,8.96,0.6,2.4,18,0,32,1,0,1
0.25,81,0,1,2.7,0.3,45,56,83,19.3,0.8,8.85,0.52,2.44,16.3,0,29,1,0,1
0.31,76,0,1,4.7,0.47,50,62,30,24,0.8,9.55,0.57,2.07,20,0,35,1,0,1
0.24,71,1.7,1,3.7,0.5,45,67,63,23.7,0.9,8.87,0.66,2.45,17.7,0,51,1,0,1
0.3,81,0,1,3.7,0.47,50,73,70,21.7,1,8.85,0.6,2.44,24,17,51,1,0,1
0.27,68,2,1,4,0.5,35,69,53,19.7,0.8,9.02,0.58,2.35,18.5,23,42,1,1,1
0.25,92,0,1,6.3,0.53,70,73,57,25.5,1.1,9.05,0.6,2.67,20.8,23,53,1,1,1
0.3,81,5.2,1,2.7,0.5,60,75,53,27.5,1.1,8.37,0.66,2.42,20.5,32,53,1,0,0
0.33,74,4.2,1,4.3,0.53,60,65,68,17.3,0.6,9.1,0.65,2.43,16.7,0,28,1,0,1
0.3,77,4.3,1,4.5,0.6,60,88,68,30,1,8.8,0.67,2.82,24.8,0,79,1,0,1
0.24,81,2.8,1,3,0.47,35,78,100,18.7,0.8,9.3,0.63,2.43,17,0,38,1,0,0
0.3,79,1.3,1,3.7,0.43,50,61,65,21,0.8,9.21,0.61,2.38,20.3,25,44,1,0,1
0.38,82,10.7,1,4.2,0.47,50,84,57,19.7,0.7,8.65,0.54,2.32,16.3,0,33,1,0,1
0.3,74,5.5,1,4.7,0.43,50,68,60,18.7,0.8,8.46,0.55,2.32,19.3,0,37,1,1,1
0.31,77,0,0,5.7,0.5,45,68,47,17.7,0.8,9.09,0.68,2.54,18.7,0,34,1,0,1
0.3,74,0,1,5,0.43,40,58,63,18,0.9,9.2,0.64,2.21,18.8,0,38,1,0,0
0.31,74,3,1,4.5,0.5,50,63,48,21.8,0.8,8.61,0.63,2.39,17.3,27,40,1,0,1
0.27,82,2.5,1,2.8,0.3,40,54,43,21.7,0.9,8.6,0.58,2.24,17.8,0,32,1,1,0
0.3,77,2.7,1,4.7,0.47,60,71,35,24.3,1.2,8.69,0.62,2.44,21.5,28,52,1,0,1
0.3,66,1.5,1,3.5,0.47,55,61,65,20.3,0.8,8.08,0.56,2.31,16.8,33,41,1,0,1
0.3,74,0,1,0.1,0.4,65,61,62,21.8,0.8,8.15,0.47,2.51,13.5,17,43,1,0,1
0.3,78,1.5,1,2.2,0.47,50,62,70,16,0.7,8.61,0.56,2.35,12.8,0,25,1,0,0
0.27,81,1.2,1,4,0.6,35,73,55,23.2,1,8.58,0.55,2.56,21.7,27,58,1,1,1
0.28,82,0,1,4.3,0.57,45,71,70,23.7,0.9,8.96,0.6,2.36,21,35,57,1,0,1
0.3,76,2,1,4.2,0.47,40,67,50,18.7,0.9,8.79,0.54,2.51,19,0,39,1,1,1
0.28,68,0.3,1,2.2,0.47,40,60,58,14.2,0.8,9.3,0.56,2.24,15.8,0,32,1,1,1
0.29,93,0,0,4.3,0.57,50,63,52,21.8,0.9,9.06,0.68,2.86,21,25,41,1,0,1
0.3,82,1,1,3.2,0.53,50,64,73,17.3,0.8,8.46,0.51,2.52,19.3,30,48,1,1,1
0.3,70,2,1,3.3,0.53,50,75,83,19.7,1,9.16,0.61,2.47,22,30,46,1,1,0
0.3,75,0,0,5.2,0.53,50,59,20,23.8,0.9,9.08,0.66,2.47,18.3,0,36,1,1,1
0.3,67,0,1,4.8,0.6,50,65,50,22.7,0.8,8.48,0.57,2.55,20,23,47,1,1,0
0.25,65,0,1,2.7,0.6,50,58,68,22.3,1.2,8.82,0.53,2.46,16.3,0,63,1,0,0
0.32,67,1,1,5.5,0.5,50,61,57,16.7,0.8,8.65,0.58,2.47,22,0,37,1,0,1
0.31,72,0.3,1,5.7,0.47,35,61,63,17.5,0.6,9.38,0.58,2.39,19.7,25,28,1,0,1
0.32,79,5.8,1,5.7,0.47,60,75,72,19.8,0.9,8.89,0.53,2.46,19,28,37,1,0,1
0.33,80,6,1,3.5,0.47,55,65,70,20,0.7,8.38,0.53,2.5,15.7,0,23,1,0,1
0.3,75,1,1,4,0.53,50,65,67,20.3,0.9,9.02,0.68,2.84,18.3,20,42,1,0,1
0.24,80,3,1,3.3,0.33,50,62,60,18.3,0.9,9.36,0.67,2.67,17.7,35,28,1,1,0
0.3,67,8,1,2.7,0.5,50,77,60,17.8,0.9,8.99,0.62,2.46,17.7,22,47,1,1,1
0.3,65,5.5,1,3.2,0.5,55,77,62,22,0.9,9.06,0.63,2.24,19.7,30,50,1,0,1
0.28,66,4.2,1,6,0.53,50,73,63,21.7,1.1,8.96,0.66,2.61,23.3,37,56,1,0,1
0.37,82,7.5,1,5.2,0.43,50,79,63,16.3,0.8,8.83,0.61,2.58,22.7,28,30,1,1,1
0.35,74,4,1,5.8,0.47,40,65,63,16.3,0.8,9.28,0.65,2.54,19,28,24,1,0,1
0.3,79,0,1,2.2,0.47,50,55,23,14.3,0.6,9.34,0.58,2.28,13.7,0,19,1,0,0
0.32,73,2,1,5.3,0.5,50,73,67,22.2,0.8,8.35,0.61,2.53,23.5,25,38,1,0,1
0.3,66,2.7,1,3,0.5,40,80,65,25.7,1,8.12,0.56,2.48,24.3,30,58,1,0,1
0.3,86,3.5,1,6.3,0.5,50,64,53,22.7,0.9,9.27,0.64,2.55,22,25,30,1,0,1
0.32,72,1.3,1,4,0.43,55,66,60,19.3,1,9.02,0.57,2.34,19.3,0,24,1,0,1
0.28,71,4.8,1,3.7,0.43,50,68,105,26.7,1,8.74,0.57,2.21,19.3,0,42,1,0,1
0.32,67,3.5,1,4.3,0.47,50,65,60,27.5,1.1,8.44,0.58,2.41,20.3,0,50,1,0,1
0.31,70,0,1,1.7,0.53,45,58,78,16.7,0.8,8.92,0.52,2.52,18.8,10,32,1,0,0
0.23,67,0,1,4.8,0.57,30,56,60,17,0.8,9.04,0.62,2.6,16.7,0,26,1,0,1
0.4,77,2.7,1,5.3,0.57,45,71,52,18.7,0.8,8.59,0.62,2.58,19,0,27,1,1,1
0.27,75,6.2,1,2.2,0.6,40,65,77,21.2,0.9,8.08,0.59,2.26,19.3,23,46,1,0,0
0.27,73,1,1,4.3,0.47,40,64,68,22.3,0.9,8.44,0.46,2.28,18.3,20,43,1,1,1
0.33,67,2.7,1,6.5,0.4,40,80,72,21.5,0.9,8.71,0.61,2.36,20.3,0,28,0,0,1
0.25,67,3.7,1,2.5,0.5,70,69,57,23.7,1.1,8.26,0.51,2.16,16,30,37,1,0,0
0.27,65,0,1,5.2,0.5,45,59,68,21,0.9,8.85,0.65,2.36,19.7,0,41,1,1,1
0.32,65,3.8,1,5.5,0.53,60,75,60,27.3,0.9,8.98,0.65,2.36,21.5,30,51,1,0,1
0.28,64,1.5,1,4.8,0.47,45,74,57,23.7,1,9.12,0.69,2.45,20.7,20,49,1,0,1
0.31,64,0,1,5.2,0.5,50,61,80,19.5,0.8,8.85,0.6,2.44,18.8,0,28,1,0,1
0.33,65,3.5,1,4.8,0.47,45,60,40,17.3,0.7,8.63,0.61,2.43,18.7,0,30,1,0,1
0.26,76,2,0,4.2,0.4,50,61,58,19.8,0.9,9.28,0.65,2.63,15.5,23,26,1,1,1
0.28,65,3.5,1,3,0.5,40,67,52,23,1.1,8.28,0.56,2.47,16.8,0,44,1,0,0
0.3,66,0,1,4,0.53,45,57,70,19.7,0.9,8.81,0.65,2.54,17.8,0,40,1,0,1
0.32,66,3.2,1,5.3,0.37,40,60,50,15.7,0.8,8.95,0.64,2.56,17.8,0,24,1,0,1
0.32,65,2.8,1,2,0.5,30,63,77,17.3,0.8,8.74,0.49,2.25,17.8,0,35,1,0,0
0.28,68,3.3,1,5.8,0.4,30,56,68,21.5,0.9,8.37,0.59,2.48,17.7,0,46,1,0,1
0.3,67,1.8,1,4.8,0.5,45,59,75,20.5,1.1,8.61,0.57,2.68,18.8,0,49,1,0,1
0.31,90,3.3,1,3.7,0.67,50,67,65,20.8,0.9,7.81,0.46,2.04,18.5,30,45,1,1,1
0.31,64,1.7,1,3.2,0.53,30,62,73,19.3,0.9,8.35,0.5,2.18,16.5,20,36,1,0,1
0.31,67,4.3,1,5.3,0.57,40,68,53,24.2,0.9,9.03,0.65,2.18,21,28,39,1,0,1
0.3,66,2.5,1,2.8,0.47,50,67,95,24.8,1.2,9.91,0.68,2.36,18.8,20,39,1,0,0
0.3,65,0,1,4,0.5,55,57,62,16.8,0.9,7.79,0.52,2.19,18.3,0,43,1,0,1
0.3,64,2,1,5,0.53,50,62,45,18.7,1,9.17,0.63,2.38,16.8,22,37,1,0,1
0.3,67,0,1,1.2,0.47,30,45,67,21.7,0.7,8.69,0.47,2.15,12.2,0,26,1,0,0
0.32,66,2.7,1,4.7,0.43,35,63,63,20,0.8,8.26,0.55,2.28,19.8,18,41,1,0,1
0.35,66,4.2,1,6.8,0.43,40,66,33,16.5,0.6,9.04,0.64,2.36,17.3,22,20,1,0,0
0.3,71,3.5,1,6.2,0.4,50,72,63,20.2,0.8,9.2,0.66,2.33,21.3,18,27,1,0,1
0.35,67,1,1,3,0.53,45,63,55,18,0.7,8.93,0.55,2.4,18.2,0,37,1,0,1
0.3,89,1.3,1,5.7,0.53,45,70,60,22.5,0.8,9.5,0.67,2.6,19.8,13,29,1,0,1
0.25,73,1.2,1,6,0.53,50,71,78,27.7,1.2,9.08,0.61,2.56,21.7,0,55,1,1,1
0.3,71,2.7,1,4.3,0.43,40,64,57,19.8,0.9,8.81,0.63,2.44,18.7,0,41,1,0,1
0.3,75,0,1,6.5,0.47,45,59,60,17.8,0.9,9.1,0.64,2.53,18.7,0,24,1,0,1
0.27,65,0,1,5,0.57,40,66,47,22.5,0.9,9.01,0.69,2.55,19.7,0,44,1,0,1
0.25,65,2.3,1,3.7,0.47,40,54,67,17.7,0.7,8.87,0.63,2.73,16,0,35,1,0,0
0.3,84,1,1,2.7,0.47,50,79,73,20.5,0.9,9.31,0.6,2.19,21.7,0,47,1,1,0
0.3,67,4.3,1,3.8,0.5,50,75,63,23.8,1.1,9.18,0.65,2.42,20,20,52,1,1,1
0.33,66,6.2,1,4.7,0.4,45,66,47,17,1,8.83,0.58,2.49,17.7,0,26,1,0,1
0.32,69,2.8,1,4.8,0.43,55,77,67,19.3,0.9,9.51,0.72,2.59,19.2,0,26,1,0,1
0.33,63,3.3,1,5.8,0.53,45,68,63,20.3,1,8.87,0.58,2.43,18.3,0,39,0,0,1
0.41,89,0,1,4.3,0.47,30,47,47,16.5,0.6,8.76,0.57,2.46,11.5,0,22,0,0,1
0.25,86,1,1,2.8,0.5,50,91,70,26.7,0.9,9.08,0.66,2.63,26,23,60,1,0,1
0.3,83,7.7,1,3.3,0.57,55,84,78,20,0.9,8.46,0.59,2.45,20.3,23,41,1,0,0
0.24,83,1.7,1,4.8,0.53,65,66,63,21.2,1,8.61,0.57,2.54,20,18,48,1,0,1
0.3,65,0,1,0.2,0.47,60,62,47,18.7,0.7,8.92,0.57,2.41,13.3,0,29,1,0,0
0.31,104,7,1,5.3,0.47,50,75,75,15.7,0.9,9,0.6,2.12,19.7,18,31,1,0,1
0.28,81,6.5,1,5.3,0.6,40,73,57,26.2,1.1,9.14,0.61,2.38,24,30,59,1,0,1
0.31,65,3.3,1,5.2,0.47,45,79,83,19.7,1,9.47,0.67,2.56,21.3,0,37,1,0,1
0.25,66,5.3,1,5,0.43,50,73,50,20.8,0.9,8.9,0.62,2.73,20.2,0,47,1,0,1
0.35,109,7,1,3.2,0.47,30,100,53,29.2,0.9,9.24,0.56,2.28,21.8,0,30,1,1,1
0.3,64,3.3,1,5.2,0.5,45,66,38,19,1.2,9.09,0.6,2.56,16.7,22,32,1,1,1
